participant.id,osf.surprised,osf.upset,osf.angry,osf.jealous,osf.happy,osf.threatened,osf.relieved,osf.sad,ssf.surprised,ssf.upset,ssf.angry,ssf.jealous,ssf.happy,ssf.threatened,ssf.relieved,ssf.sad,rom.surprised,rom.upset,rom.angry,rom.jealous,rom.happy,rom.threatened,rom.relieved,rom.sad,age.participant,relationship.status.participant,gender,sexual.orientation.participant,age.friend,osf.closer.ssf,friendship.duration.wks,contact.frequency,sexual.orientation.friend,comparison.attractive,romantic.attraction.tofriend,sexual.attraction.tofriend,clearly.dating.their.osf
45,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,2,1,18,1,2,2,18,2,3,3,2,1,1,1,2
46,1,1,1,1,4,1,1,1,1,1,1,1,4,1,3,1,3,1,1,1,4,1,3,1,23,4,1,2,24,2,52,1,2,5,3,2,2
47,2,1,1,1,2,1,1,2,1,1,1,1,5,1,3,1,4,3,3,1,1,2,1,2,20,2,2,NA,20,2,104,2,2,6,4,2,2
48,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,19,1,2,2,18,2,130,2,2,5,1,1,2
49,1,1,1,3,4,1,3,2,1,1,1,3,4,1,3,2,3,1,1,1,4,1,3,1,19,1,1,2,19,2,28,2,2,2,3,1,2
50,1,1,1,2,3,2,3,1,1,1,1,1,3,1,3,1,2,2,1,2,3,2,1,2,18,1,2,2,18,1,156,1,2,4,3,3,2
51,3,3,2,4,4,3,2,2,2,1,1,1,5,1,2,1,5,5,3,4,3,3,1,5,18,1,2,2,19,1,3,1,2,7,7,7,2
52,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,20,1,1,2,19,2,312,3,2,7,4,7,2
53,2,2,2,1,2,3,1,1,1,1,1,1,3,1,1,1,4,3,3,1,2,3,1,2,19,1,1,2,17,2,884,2,2,1,1,1,2
57,4,2,3,3,2,2,3,2,3,1,1,1,1,1,2,1,2,2,1,3,1,3,1,3,18,1,1,2,18,2,4,1,2,6,5,6,2
58,3,2,1,2,4,2,2,2,2,1,1,2,4,1,1,2,4,3,1,3,2,4,2,2,18,1,2,2,18,1,4,1,2,7,4,5,2
59,2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,3,2,1,1,18,1,2,2,18,2,208,1,2,4,2,1,2
60,1,1,1,1,4,1,3,1,5,1,1,1,2,1,2,1,1,1,1,1,4,1,4,1,18,1,2,2,18,2,208,1,2,1,1,1,2
61,2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,4,1,1,2,3,1,1,2,18,1,1,2,18,2,208,1,2,5,4,4,2
62,1,1,1,1,4,1,2,2,2,1,1,2,4,1,2,1,1,1,1,1,4,1,4,1,20,3,2,2,21,2,3,1,2,4,1,1,2
63,1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,1,5,1,1,1,3,1,5,1,21,1,1,2,20,2,3,1,4,1,1,1,2
64,1,1,1,1,4,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,5,1,1,1,18,1,1,3,18,2,3,1,2,5,1,1,2
65,3,2,2,3,2,2,1,3,4,1,1,1,4,1,3,1,3,1,1,1,4,1,2,1,19,3,2,2,18,2,156,1,2,1,1,1,2
66,5,1,1,1,4,1,4,1,5,1,1,1,4,1,4,1,5,1,1,1,5,1,4,1,24,1,2,2,22,2,52,1,2,5,1,1,2
67,4,1,1,1,5,1,5,1,4,1,1,1,3,1,3,1,2,1,1,1,NA,1,4,1,21,3,2,2,19,1,312,1,2,5,1,1,2
68,4,3,3,4,2,4,1,2,4,1,1,1,5,2,3,2,4,2,2,3,3,3,2,3,20,1,2,2,20,2,58,2,2,6,4,5,2
69,5,2,1,1,2,1,2,2,5,1,1,1,5,1,5,1,5,1,1,1,5,1,5,1,23,3,2,2,22,1,52,1,2,6,1,1,2
70,1,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,2,1,1,1,4,1,4,1,21,3,2,2,21,2,104,5,2,4,1,1,2
71,2,1,1,2,3,2,3,2,1,2,1,2,3,1,3,2,2,1,1,2,4,1,NA,2,19,1,2,1,20,2,40,1,2,3,1,1,2
72,1,2,1,2,4,2,1,2,1,1,1,1,4,1,2,2,2,1,1,1,4,2,1,1,19,1,2,2,19,2,416,1,2,3,1,1,2
73,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,21,1,1,2,21,1,106,1,2,4,1,1,2
74,1,1,1,1,4,1,3,1,2,1,1,1,3,1,3,1,1,1,1,1,4,1,3,1,18,1,2,2,18,2,1,1,2,4,1,1,2
75,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,21,1,1,2,21,2,2,2,2,4,4,4,2
76,1,2,2,4,5,2,1,2,1,1,1,1,5,1,2,1,3,2,1,3,5,2,4,2,20,1,2,2,20,2,13,2,2,7,4,4,2
